Willie Allemang|Leonard Nimoy Demonstrates the Magnavision Videodisc Player (1981)
Tim Clutterbuck|Lawrence of Arabia (1962)
David Clyde|The Philadelphia Story (1940)
Kade Coates|The Truman Show (1998)
Edmund Cobb|Citizen Kane (1941)
Edmund Cobb|Double Indemnity (1944)
Edmund Cobb|His Girl Friday (1940)
Edmund Cobb|Mr. Smith Goes to Washington (1939)
Lee J. Cobb|12 Angry Men (1957)
Lee J. Cobb|On the Waterfront (1954)
Lee J. Cobb|The Exorcist (1973)
Cobian|The Wrestler (2008)
James Coburn (I)|Monsters, Inc. (2001)
James Coburn (I)|The Great Escape (1963)
Steve Cochran (I)|The Best Years of Our Lives (1946)
Harry Cody (I)|Singin' in the Rain (1952)
Bob Coe (II)|North by Northwest (1959)
Scott Coffey (I)|Once Upon a Time in America (1984)
Harry Cogg|The Wizard of Oz (1939)
Frank Coghlan Jr.|Gone with the Wind (1939)
Ben Cohen (I)|Requiem for a Dream (2000)
Bruce Cohen|American Beauty (1999)
Cal Cohen|The Grapes of Wrath (1940)
Eric Cohen (I)|Requiem for a Dream (2000)
J.J. Cohen|Back to the Future (1985)
Robert Dylan Cohen|Requiem for a Dream (2000)
Harry Cohn (II)|Taxi Driver (1976)
Eddie Coke|Citizen Kane (1941)
Eddie Coke|Mr. Smith Goes to Washington (1939)
Nicholas Colasanto|Raging Bull (1980)
Tim Colceri|Full Metal Jacket (1987)
Adam Cole (IV)|Inception (2010)
Nat 'King' Cole|Citizen Kane (1941)
Alex Coleman (I)|The Silence of the Lambs (1991)
Harry Coleman|The Gold Rush (1925)
Richard Coleman (I)|Ben-Hur (1959)
Tom Coleman (I)|Citizen Kane (1941)
Tom Coleman (I)|It's a Wonderful Life (1946)
Tom Coleman (I)|Notorious (1946)
Victor Colicchio|Goodfellas (1990)
Luis Colina|The Big Lebowski (1998)
Sapox Colisium|The Deer Hunter (1978)
Daniel Coll|Braveheart (1995)
Kenneth Colley|Life of Brian (1979)
Kenneth Colley|Star Wars: Episode V - The Empire Strikes Back (1980)
Kenneth Colley|Star Wars: Episode VI - Return of the Jedi (1983)
John Collier (IV)|Big Fish (2003)
Clifton Collins Jr.|Star Trek (2009)
Bob Collins (I)|Se7en (1995)
Bob Evan Collins|Raging Bull (1980)
Chick Collins|Singin' in the Rain (1952)
G. Pat Collins|All Quiet on the Western Front (1930)
Jack Collins (IV)|The Sting (1973)
John Collins (XII)|King Kong (1933)
Ray Collins (I)|Citizen Kane (1941)
Ray Collins (I)|The Best Years of Our Lives (1946)
Ray Collins (I)|Touch of Evil (1958)
Steve Collins (II)|Lock, Stock and Two Smoking Barrels (1998)
Christopher Colombi Jr.|The Deer Hunter (1978)
Sydney 'Big Dawg' Colston|American History X (1998)
Sydney 'Big Dawg' Colston|Fight Club (1999)
Mike Colter|Million Dollar Baby (2004)
Richard Colton (I)|Amadeus (1984)
George G. Colucci|Goodfellas (1990)
Franco Columbu|The Terminator (1984)
Pinto Colvig|The Wizard of Oz (1939)
George Comando|Casino (1995)
Sam Comery|The Lord of the Rings: The Two Towers (2002)
Pat Comiskey|Some Like It Hot (1959)
Francis Compton|Witness for the Prosecution (1957)
James Conaty|All About Eve (1950)
James Conaty|The Best Years of Our Lives (1946)
Peter Conboy|The Wrestler (2008)
Fabio Castor Conceicao|Cidade de Deus (2002)
Steve Condit|To Kill a Mockingbird (1962)
Tim Condren|Star Wars (1977)
Aiden Condron|Saving Private Ryan (1998)
Gino Conforti|Monsters, Inc. (2001)
Tony Conforti|Goodfellas (1990)
Chester Conklin|Modern Times (1936)
Chester Conklin|Mr. Smith Goes to Washington (1939)
Chester Conklin|The Great Dictator (1940)
Heinie Conklin|All Quiet on the Western Front (1930)
Heinie Conklin|Modern Times (1936)
Heinie Conklin|The Best Years of Our Lives (1946)
Heinie Conklin|The Gold Rush (1925)
David Conley (V)|The Departed (2006)
Jack Conley|L.A. Confidential (1997)
Odel Conley|King Kong (1933)
Onest Conley|King Kong (1933)
Tavarus Conley (I)|Star Trek (2009)
Richard Connaught|A Clockwork Orange (1971)
Gordon Connell|Rosemary's Baby (1968)
Erwin Connelly|Sherlock Jr. (1924)
Sean Connery|Indiana Jones and the Last Crusade (1989)
Walter Connolly|It Happened One Night (1934)
Mario Conocchia|8 1/2 (1963)
Roy Conrad|Casino (1995)
Hans Conried|The Great Dictator (1940)
William Conroy|Il buono, il brutto, il cattivo. (1966)
Ennio Consalvi|La vita e bella (1997)
Paddy Considine|The Bourne Ultimatum (2007)
Tim Considine|Patton (1970)
Michael Constantine (I)|The Hustler (1961)
Johnny Contardo|Scarface (1983)
Daniel P. Conte|Casino (1995)
Daniel P. Conte|Goodfellas (1990)
Daniel P. Conte|Raging Bull (1980)
Richard Conte (I)|The Godfather (1972)
Steve Conte (I)|Vertigo (1958)
Mike Contessa|Goodfellas (1990)
Peter Conti|Casino (1995)
Matt Contreras|Into the Wild (2007)
Roberto Contreras (I)|Scarface (1983)
Spartaco Conversi|C'era una volta il West (1968)
Bert Conway|The Best Years of Our Lives (1946)
Kevin Conway (I)|Mystic River (2003)
Pat Conway (II)|Singin' in the Rain (1952)
Jack Coogan Sr.|The Kid (1921)
Gene Coogan|Citizen Kane (1941)
Jackie Coogan|The Kid (1921)
Elisha Cook Jr.|Rosemary's Baby (1968)
Elisha Cook Jr.|The Big Sleep (1946)
Elisha Cook Jr.|The Killing (1956)
Elisha Cook Jr.|The Maltese Falcon (1941)
Billy Cook (I)|Gone with the Wind (1939)
Billy Cook (III)|Children of Men (2006)
Peter Cook (I)|The Princess Bride (1987)
Roderick Cook|Amadeus (1984)
Tommy Cook (I)|Stalag 17 (1953)
Tony Cook (VI)|V for Vendetta (2006)
Hal Cooke|Mr. Smith Goes to Washington (1939)
Ray Cooke|It Happened One Night (1934)
Fortune Cookie|The Apartment (1960)
Danny Cooksey|Terminator 2: Judgment Day (1991)
Barrie Cookson|A Clockwork Orange (1971)
Josh Cooley|Up (2009)
Philip Coolidge|North by Northwest (1959)
Brye Cooper|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Chris Cooper (I)|American Beauty (1999)
Clancy Cooper|The Best Years of Our Lives (1946)
Darin Cooper|The Social Network (2010)
Gary Cooper (I)|High Noon (1952)
George Cooper (I)|Mr. Smith Goes to Washington (1939)
Jack Cooper (I)|Mr. Smith Goes to Washington (1939)
Melville Cooper|Rebecca (1940)
Merian C. Cooper|King Kong (1933)
Risteard Cooper|Batman Begins (2005)
Roy Cooper (I)|The Exorcist (1973)
Harold E. Cope Jr.|The Shawshank Redemption (1994)
Jason Cope|District 9 (2009)
Kit Cope|The Wrestler (2008)
Nick Copeland|Mr. Smith Goes to Washington (1939)
Sharlto Copley|District 9 (2009)
Willie Coppen|Star Wars: Episode VI - Return of the Jedi (1983)
Yves-Marie Coppin|Le scaphandre et le papillon (2007)
Barry Copping|Star Wars (1977)
Carmine Coppola|The Godfather (1972)
Francis Ford Coppola|Apocalypse Now (1979)
Gian-Carlo Coppola|Apocalypse Now (1979)
Gian-Carlo Coppola|The Godfather (1972)
Marc Coppola|Apocalypse Now (1979)
Patrick Coppola (I)|The Departed (2006)
Roman Coppola|Apocalypse Now (1979)
Roman Coppola|The Godfather (1972)
Roman Coppola|The Godfather: Part II (1974)
Trevor Coppola|District 9 (2009)
Trevor Coppola|Heat (1995)
Vincent Coppola|The Godfather: Part II (1974)
Bruno Corazzari|C'era una volta il West (1968)
Jeffrey Corazzini|The Departed (2006)
Ben Corbett (I)|High Noon (1952)
Barry Corbin|No Country for Old Men (2007)
Jeff Corbin|Casino (1995)
Harry Cording|The Grapes of Wrath (1940)
Caesar Cordova|Scarface (1983)
Allan Corduner|Gladiator (2000)
Antonio Corevi|Ben-Hur (1959)
Dave Corey (I)|The Truman Show (1998)
Jeff Corey (I)|Butch Cassidy and the Sundance Kid (1969)
Jim Corey|The Grapes of Wrath (1940)
Wendell Corey|Rear Window (1954)
Charles Cork|Snatch. (2000)
Charles Cork|V for Vendetta (2006)
James Cormack (I)|The Elephant Man (1980)
Roger Corman|The Godfather: Part II (1974)
Roger Corman|The Silence of the Lambs (1991)
Sean Paul Cormier|The Departed (2006)
Harry Cornbleth|King Kong (1933)
James Cornell (I)|Rear Window (1954)
Chris Cornibert|Full Metal Jacket (1987)
Danny Cornibert|Full Metal Jacket (1987)
Stephane Cornicard|Saving Private Ryan (1998)
Julio Corona|The Wild Bunch (1969)
Ray Corona|Million Dollar Baby (2004)
Antoni Corone|The Truman Show (1998)
Giovanni Corporale|Ladri di biciclette (1948)
Gino Corrado|Casablanca (1942)
Gino Corrado|Citizen Kane (1941)
Gino Corrado|Gone with the Wind (1939)
Gino Corrado|Harvey (1950)
Gino Corrado|Mr. Smith Goes to Washington (1939)
Gino Corrado|Rebecca (1940)
Gino Corrado|Sunrise: A Song of Two Humans (1927)
Gino Corrado|The Grapes of Wrath (1940)
Gino Corrado|The Great Dictator (1940)
Conrad Angel Corral|Donnie Darko (2001)
David Correia|Se7en (1995)
Kevin Corrigan (I)|Goodfellas (1990)
Kevin Corrigan (I)|The Departed (2006)
Lloyd Corrigan|The Manchurian Candidate (1962)
Peter Corrigan (II)|The Lord of the Rings: The Fellowship of the Ring (2001)
Franco Corsaro|Casablanca (1942)
Franco Corsaro|Roman Holiday (1953)
Salvatore Corsitto|The Godfather (1972)
Bud Cort|Heat (1995)
John Cortay|Roman Holiday (1953)
John Cortay|Sunset Blvd. (1950)
Joseph Cortese (I)|American History X (1998)
Herbert Corthell|Citizen Kane (1941)
Jesse Corti|Beauty and the Beast (1991)
Giancarlo Cosentino|La vita e bella (1997)
Luke Cosgrave|Gone with the Wind (1939)
James Cosmo|Braveheart (1995)
James Cosmo|Trainspotting (1996)
Michael Cosmo|Ben-Hur (1959)
Tony Cosmo|Reservoir Dogs (1992)
James Cossins|Gandhi (1982)
Marcello Costa (II)|Cidade de Deus (2002)
Marcio Costa (II)|Cidade de Deus (2002)
Ricardo Costa (II)|Notorious (1946)
Robert Costanzo|Dog Day Afternoon (1975)
Brian Costello (I)|Requiem for a Dream (2000)
Delmar Costello|The Grapes of Wrath (1940)
Don Costello (II)|The Godfather (1972)
Maurice Costello (I)|Mr. Smith Goes to Washington (1939)
Ritchie Coster|The Dark Knight (2008)
Mario Cotone|The Godfather: Part II (1974)
Joseph Cotten (I)|Citizen Kane (1941)
Joseph Cotten (I)|The Third Man (1949)
Joseph Cotten (I)|Touch of Evil (1958)
King Cotton|Ed Wood (1994)
Tommy Cottonaro|The Wizard of Oz (1939)
Mickey Cottrell|Ed Wood (1994)
Mike Cottrell (I)|Star Wars: Episode VI - Return of the Jedi (1983)
Mike Coughlin|The Wrestler (2008)
George Coulouris|Citizen Kane (1941)
Laurent Courtiaud|Fa yeung nin wa (2000)
Dave Courvoisier|Casino (1995)
Henri Coutet|Les diaboliques (1955)
Marcos Coutinho|Cidade de Deus (2002)
Daniel Couturier|Les quatre cents coups (1959)
DeForest Covan|Rocky (1976)
Jerome Cowan|The Maltese Falcon (1941)
David Cowgill|Hauru no ugoku shiro (2004)
David Cowgill|Kaze no tani no Naushika (1984)
Brian Cox (I)|Braveheart (1995)
Tony Cox (I)|Star Wars: Episode VI - Return of the Jedi (1983)
Walter Coy (I)|North by Northwest (1959)
Hans Cozzens|American History X (1998)
Rick Crachy|Casino (1995)
Bill Craddock|The Green Mile (1999)
Peter Crafts|The Departed (2006)
Aaron Craig|La vita e bella (1997)
Alec Craig|Mr. Smith Goes to Washington (1939)
John D. Craig (I)|The Shawshank Redemption (1994)
Fred Crane (I)|Gone with the Wind (1939)
Ward Crane|Sherlock Jr. (1924)
Bryan Cranston|Saving Private Ryan (1998)
Thomas Craven (II)|Batman Begins (2005)
Rutherford Cravens|No Country for Old Men (2007)
Scott Crawford (III)|Annie Hall (1977)
Scott Crawford (III)|Raging Bull (1980)
Don Creech|Leon (1994)
Joseph Crehan|It Happened One Night (1934)
Joseph Crehan|Judgment at Nuremberg (1961)
Joseph Crehan|The Big Sleep (1946)
Ray Creighton|It Happened One Night (1934)
Jack Creley|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
John Crewdson|Lawrence of Arabia (1962)
Kernan Cripps|Double Indemnity (1944)
Kernan Cripps|Gone with the Wind (1939)
Vijay Crishna|Gandhi (1982)
Jon Croft (I)|Gandhi (1982)
Peter Crombie (I)|Se7en (1995)
James Cromwell (I)|L.A. Confidential (1997)
James Cromwell (I)|The Green Mile (1999)
Mackenzie Crook|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Douglas Crosby|The Departed (2006)
Douglas Crosby|The Wrestler (2008)
Ben Cross (I)|Star Trek (2009)
Charles Cross (I)|Citizen Kane (1941)
David Cross (II)|Eternal Sunshine of the Spotless Mind (2004)
Jason 'Jake' Cross|Magnolia (1999)
Jimmy Cross (I)|North by Northwest (1959)
Scatman Crothers|One Flew Over the Cuckoo's Nest (1975)
Scatman Crothers|The Shining (1980)
Trevor Crouch|Snatch. (2000)
Jimmy the Crow|It's a Wonderful Life (1946)
Jimmy the Crow|The Wizard of Oz (1939)
Russell Crowe|Gladiator (2000)
Russell Crowe|L.A. Confidential (1997)
Scotty Crowe|The Social Network (2010)
Dermot Crowley|Star Wars: Episode VI - Return of the Jedi (1983)
Ed Crowley (I)|Network (1976)
Graeme Crowther|Indiana Jones and the Last Crusade (1989)
Billy Crudup|Big Fish (2003)
Billy Crudup|Mononoke-hime (1997)
Reid Cruickshanks|Ed Wood (1994)
Tom Cruise|Magnolia (1999)
Capt. C.C. Cruson|The General (1926)
Gregory Cruz (I)|Scarface (1983)
John B. Crye|The Prestige (2006)
Billy Crystal|Hauru no ugoku shiro (2004)
Billy Crystal|Monsters, Inc. (2001)
Billy Crystal|The Princess Bride (1987)
Marton Csokas|The Lord of the Rings: The Fellowship of the Ring (2001)
Marton Csokas|The Lord of the Rings: The Return of the King (2003)
Juanjo Cucalon|El laberinto del fauno (2006)
Cliff Cudney|Once Upon a Time in America (1984)
Ed Cuffe|The Departed (2006)
Fred Culbertson|The Shawshank Redemption (1994)
Zachary Culbertson|Star Trek (2009)
Michael Culver|Star Wars: Episode V - The Empire Strikes Back (1980)
Roderic Culver|V for Vendetta (2006)
Mwako Cumbuka|One Flew Over the Cuckoo's Nest (1975)
John Cumming (I)|Star Wars: Episode VI - Return of the Jedi (1983)
Brian Cummings (I)|Beauty and the Beast (1991)
Jim Cummings (I)|The Lion King (1994)
Joe Cummings (I)|The Deer Hunter (1978)
Robert Cummings (I)|Dial M for Murder (1954)
Ron Cummins (I)|Dog Day Afternoon (1975)
Darlan Cunha|Cidade de Deus (2002)
Jack Cunningham (II)|Dial M for Murder (1954)
James Cunningham (I)|Snatch. (2000)
Kendall Cunningham|Toy Story (1995)
Bobby Curcuro|Good Will Hunting (1997)
Rob Curling|Children of Men (2006)
Phill Curr|Batman Begins (2005)
Adrian Curran|Once Upon a Time in America (1984)
Paddy Curran|The Departed (2006)
Thomas A. Curran (I)|Citizen Kane (1941)
Tony Curran (I)|Gladiator (2000)
Finlay Currie|Ben-Hur (1959)
Graham Curry|The King's Speech (2010)
Jeremy Curry|A Clockwork Orange (1971)
Jon Curry (II)|Avatar (2009)
Mason Curry|The Apartment (1960)
Mason Curry|The Exorcist (1973)
Nathan Curry|King Kong (1933)
Alfie Curtis|Star Wars (1977)
Alfie Curtis|The Elephant Man (1980)
Billy Curtis (I)|The Wizard of Oz (1939)
Dick Curtis (I)|King Kong (1933)
Jack Curtis (I)|Citizen Kane (1941)
Jack Curtis (I)|Harvey (1950)
Jack Curtis (I)|It Happened One Night (1934)
John Curtis (II)|Full Metal Jacket (1987)
Patrick Curtis|Gone with the Wind (1939)
Tony Curtis (I)|Rosemary's Baby (1968)
Tony Curtis (I)|Some Like It Hot (1959)
Bill Cusack|Ed Wood (1994)
John Cusack|Stand by Me (1986)
Ronny Cush|Star Wars: Episode VI - Return of the Jedi (1983)
Peter Cushing|Star Wars (1977)
Jack Cushingham|Strangers on a Train (1951)
Victor Cutler|The Best Years of Our Lives (1946)
John Cygan (I)|Toy Story 3 (2010)
John Cygan (I)|Up (2009)
John Cygan (I)|WALLE (2008)
Piotr Cyrwus|Schindler's List (1993)
Claudio Cesar|Cidade de Deus (2002)
Paulo 'Jacare' Cesar|Cidade de Deus (2002)
Pancho Cordova|Butch Cassidy and the Sundance Kid (1969)
Jean D'Agostino|Star Wars: Episode VI - Return of the Jedi (1983)
Richard D'Alessandro|Forrest Gump (1994)
Paul D'Amato (I)|The Deer Hunter (1978)
Vito D'Ambrosio|The Usual Suspects (1995)
Marcus D'Amico|Full Metal Jacket (1987)
Dante D'Andre|Scarface (1983)
Sonny D'Angelo|Casino (1995)
Joe D'Angerio|Million Dollar Baby (2004)
John D'Leo|The Wrestler (2008)
Philip D'Oench|The Kid (1921)
Joe D'Onofrio|Goodfellas (1990)
Vincent D'Onofrio|Ed Wood (1994)
Vincent D'Onofrio|Full Metal Jacket (1987)
Jean d'Yd|La passion de Jeanne d'Arc (1928)
Fabio 'Dog' da Cunha|Cidade de Deus (2002)
Ricardo Rocha da Silva|Cidade de Deus (2002)
James Dabney Jr.|Stalag 17 (1953)
Gilbert Dacheux|La passion de Jeanne d'Arc (1928)
Werner Daehn|Das Leben der Anderen (2006)
Willem Dafoe|Finding Nemo (2003)
Willem Dafoe|Platoon (1986)
Ezra Dagan|Schindler's List (1993)
Robert Daget|The Hustler (1961)
Jean-Michel Dagory|Inception (2010)
Bill Dagwell|King Kong (1933)
